name,contributor,star,hash,url
dbeaver,336,43470,8cf480b10718a31988e81a4e5ca1aca8b71db4ad,https://github.com/dbeaver/dbeaver
feign,264,9657,6e7667892f0db2461f86ddc68e871ac13f80aa56,https://github.com/OpenFeign/feign
error-prone,226,6964,356f56e9de7a6d0fb2ba478a735a0751318c2e03,https://github.com/google/error-prone
rocketmq,334,21747,ed410f37ddf8867a0e38d4fc384f9c9e1dc05103,https://github.com/apache/rocketmq
Signal-Server,48,9715,9ec66dac7f357489203dc51e5228b0683ac3bc8c,https://github.com/signalapp/Signal-Server
jedis,212,12041,f82f22152abe418f13e16e2f59a1df98f8c29f11,https://github.com/redis/jedis
hutool,300,29804,abbe51447992ed968d1de4956fa9d88dc581bab3,https://github.com/chinabugotech/hutool
incubator-seata,340,25625,3b40167b06aa4bd707ae32bfc5774219e63fcfb0,https://github.com/apache/incubator-seata
caffeine,62,16610,ae33c184de26d458cf81aaf19dd48aedd623790a,https://github.com/ben-manes/caffeine
async-http-client,177,6343,fb50dc26717f0e6aaaef58e2a01924a56aab2021,https://github.com/AsyncHttpClient/async-http-client
pentaho-kettle,178,7994,682fcc64d5540287cf19c25e7f1e0528a0c95e8b,https://github.com/pentaho/pentaho-kettle
seatunnel,379,8475,6a847b89f1d7abb90dbf2453416aff7466e3283a,https://github.com/apache/seatunnel
flyway,117,8745,4ad0ab25cec572afcd17eeb6cebd151a43e53e60,https://github.com/flyway/flyway
jOOQ,85,6375,d6a8ea0cf3f3d635fb42d0f1845e5fbf72e00218,https://github.com/jOOQ/jOOQ
wiremock,233,6774,67e332a6727d27d10ac4e7cd604a75f5b440fc99,https://github.com/wiremock/wiremock
dropwizard,356,8545,0ef2873a1b8bcc32f4912f401ef08863bb652cea,https://github.com/dropwizard/dropwizard
byte-buddy,94,6493,95197df3976f76439ce666c0aa52f14824b826ab,https://github.com/raphw/byte-buddy
vert.x,242,14462,e45336ed772e4e6f0af68bc73f6610a985c1a776,https://github.com/eclipse-vertx/vert.x
mybatis-plus,188,16831,f99a8944522de22b5dcc71470bb52bb78288c831,https://github.com/baomidou/mybatis-plus
SmartTube,120,22576,ac647acab8e48e874877d7a39db53f91135a1201,https://github.com/yuliskov/SmartTube
MinecraftForge,371,7162,33d177f02e9a593bce0179623dfa434128beff8a,https://github.com/MinecraftForge/MinecraftForge
Apktool,99,21978,c41a5272140f51d41c0de015e6f0103498266781,https://github.com/iBotPeaches/Apktool
visualvm,10,3031,8c25113236797edbe7710c435ac0acb16c224c11,https://github.com/oracle/visualvm
nacos,383,31338,bc6566dfc23446422cf8a2e4dec12dd37319b486,https://github.com/alibaba/nacos
pulsar,364,14603,0e24f7a48c478420fb336d1ed5d8c76015492318,https://github.com/apache/pulsar
plantuml,91,11472,a23aa251836af1541812503e845c57576e809fa1,https://github.com/plantuml/plantuml
HMCL,87,7585,6e05b5ee58e67cd40e58c6f6002f3599897ca358,https://github.com/HMCL-dev/HMCL
metrics,205,7846,28bc4a461789326148c558ad4a711ca51677c81d,https://github.com/dropwizard/metrics
redisson,183,23776,f8098ac383a8c149415dfe7acdfd4d40f3fdb04e,https://github.com/redisson/redisson
iceberg,409,7337,a25f9938caa0cc021ce6403baf051fe8412f5401,https://github.com/apache/iceberg
zxing,124,33294,2a779a95863caebe2e72459bc3752287c2a96ead,https://github.com/zxing/zxing
grpc-java,360,11719,b88536a17d320065a972858e17e44e1e5c656a0f,https://github.com/grpc/grpc-java
jib,120,13907,fb6a9a120761a0a45c0657c6678ac3e46f83bf59,https://github.com/GoogleContainerTools/jib
spring-cloud-alibaba,191,28447,113273b502d73ee57e3e5780f33e70b56e206f6c,https://github.com/alibaba/spring-cloud-alibaba
ExoPlayer,246,21816,dd430f7053a1a3958deea3ead6a0565150c06bfc,https://github.com/google/ExoPlayer
AntennaPod,263,6916,49e6da67271dead9d0a574c9ecbd70c35da18d36,https://github.com/AntennaPod/AntennaPod
mage,317,2094,9de731b5222941750a1438e00a7ffda2a78f060d,https://github.com/magefree/mage
Paper,332,10991,a25258190b600c170334dd5071c4cbd6d203ec3c,https://github.com/PaperMC/Paper
shardingsphere-elasticjob,112,8185,a5cfb4a8230af2b79d61d58d2c8acfef4f0682c9,https://github.com/apache/shardingsphere-elasticjob
